movie_key,source_relpath,action,category,destination_relpath,status,reason
tt0824758_TheLastStation,tt0824758_TheLastStation/RARBG.txt,QUARANTINE,RELEASE_METADATA,tt0824758_TheLastStation/RARBG.txt,PLANNED,safe cleanup category
tt0824758_TheLastStation,tt0824758_TheLastStation/Subs/2_Eng.srt.txt,QUARANTINE,RELEASE_METADATA,tt0824758_TheLastStation/Subs/2_Eng.srt.txt,PLANNED,safe cleanup category
tt0824758_TheLastStation,tt0824758_TheLastStation/Subs/3_Eng.srt.txt,QUARANTINE,RELEASE_METADATA,tt0824758_TheLastStation/Subs/3_Eng.srt.txt,PLANNED,safe cleanup category
tt0840361_TheTown,tt0840361_TheTown/season.nfo,QUARANTINE,RELEASE_METADATA,tt0840361_TheTown/season.nfo,PLANNED,safe cleanup category
tt0840361_TheTown,tt0840361_TheTown/城中大盗 2160p remux (2010).nfo,QUARANTINE,RELEASE_METADATA,tt0840361_TheTown/城中大盗 2160p remux (2010).nfo,PLANNED,safe cleanup category
tt0887912_TheHurtLocker,tt0887912_TheHurtLocker/season.nfo,QUARANTINE,RELEASE_METADATA,tt0887912_TheHurtLocker/season.nfo,PLANNED,safe cleanup category
tt0887912_TheHurtLocker,tt0887912_TheHurtLocker/拆弹部队 2160p remux (2008).nfo,QUARANTINE,RELEASE_METADATA,tt0887912_TheHurtLocker/拆弹部队 2160p remux (2008).nfo,PLANNED,safe cleanup category
tt0935075_RabbitHole,tt0935075_RabbitHole/season.nfo,QUARANTINE,RELEASE_METADATA,tt0935075_RabbitHole/season.nfo,PLANNED,safe cleanup category
tt0935075_RabbitHole,tt0935075_RabbitHole/兔子洞 1080p remux (2010).nfo,QUARANTINE,RELEASE_METADATA,tt0935075_RabbitHole/兔子洞 1080p remux (2010).nfo,PLANNED,safe cleanup category
tt0942385_TropicThunder,tt0942385_TropicThunder/season.nfo,QUARANTINE,RELEASE_METADATA,tt0942385_TropicThunder/season.nfo,PLANNED,safe cleanup category
tt0942385_TropicThunder,tt0942385_TropicThunder/热带惊雷 - Theatrical Edition 2160p remux (2008).nfo,QUARANTINE,RELEASE_METADATA,tt0942385_TropicThunder/热带惊雷 - Theatrical Edition 2160p remux (2008).nfo,PLANNED,safe cleanup category
tt0976051_TheReader,tt0976051_TheReader/Top154.朗读者.The.Reader.2008.Bluray.1080p.x265.AAC(5.1).GREENOTEA(1).mkv,RENAME,PRIMARY_VIDEO,tt0976051_TheReader/tt0976051_TheReader.mkv,PLANNED,canonical primary filename
tt10095582_TheTragedyofMacbeth,tt10095582_TheTragedyofMacbeth/[麦克白的悲剧].The.Tragedy.of.Macbeth.2021.2160p.ATVP.WEB-DL.H265.10bit.DDP5.1.Atmos-UBWEB.mkv,RENAME,PRIMARY_VIDEO,tt10095582_TheTragedyofMacbeth/tt10095582_TheTragedyofMacbeth.mkv,PLANNED,canonical primary filename
tt10272386_TheFather,tt10272386_TheFather/困在时JLD父亲.mp4,RENAME,PRIMARY_VIDEO,tt10272386_TheFather/tt10272386_TheFather.mp4,PLANNED,canonical primary filename
tt10293406_ThePowerOfTheDog,tt10293406_ThePowerOfTheDog/The.Power.of.the.Dog.2021.2160p.NF.WEB-DL.DDP5.1.Atmos.HDR.H.265-PLEW.mkv,RENAME,PRIMARY_VIDEO,tt10293406_ThePowerOfTheDog/tt10293406_ThePowerOfTheDog.mkv,PLANNED,canonical primary filename
tt10366460_CODA,tt10366460_CODA/健听女孩.官方中字.Coda.2021..mp4,RENAME,PRIMARY_VIDEO,tt10366460_CODA/tt10366460_CODA.mp4,PLANNED,canonical primary filename
